Review,common_keywords_all,common_keywords_3_plus,all_keywords_combined
너무 예뻐요 사진과 같아 요 짧아도 너무 너무 편해요 잘 입고 다녀요, 짧다,"사진, 짧다, 편하다","사진, 자다, 짧다, 편하다"
기본 원피스의 핏이 이렇게 이 쁠 수가 월 일 되자마자 쿠폰 먹여서 구매했습니다 역시 기 대한 만큼 핏이 예뻐요 소재도 하구요 글로니 옷은 빨리 사는 게 이득인 거 같습니다 레이어드로 입어도 이 쁘고 벨트 해도 이쁩니다, 이득,"기본, 레이어드, 벨트, 빨리, 소재, 원피스, 이득, 쿠폰, 해도","기대하다, 기본, 대한, 레이어 드, 레이어드, 먹이다, 벨트, 빨리, 살다, 소재, 수가, 원피스, 이득, 이렇게, 쿠폰, 핏, 해도"
몸에 완전히 핏되는 스타일이고 이상부터는 절대 안 들어갈 것 같네욤," 스타일,  핏되","같네욤, 들어가다, 몸, 스타일, 완전하다, 절대, 핏되","같네욤, 들어가다, 몸, 부터는, 스타일, 완전하다, 이고, 절대, 핏되"
에 키로인데도 이 적당히 하면서 마니 짧지 않아서 좋아요 는 얼마나 마른 분들이 입는 걸까요 화이트도 구매 예정입니다, 적당하다,"걸다, 마르다, 분, 적당하다, 짧다, 키, 화이트","걸다, 늘다, 마르다, 말다, 분, 예정, 적당하다, 짧다, 키, 키로, 화이트"
가벼운 데이트룩으로 최고에 요 날씨가 풀려서 손이 자주 가요," 최고,  가요,  풀다","가볍다, 가요, 날씨, 데이트, 손, 최고, 풀다","가볍다, 가요, 날씨, 데이트, 데이트룩, 룩, 손, 최고, 풀다"
가슴 작은 편인데도 가슴 압박이 심한 옷이에요 상체에 살은 없는데 흉 통 큰 편이라 했고 허리는 딱 붙지 않아 편하네요 밑단이 생각보다 더 넓은 플레어 입니다, 압박,"가슴, 넓다, 붙다, 상체, 심하다, 압박, 작다, 펴다, 플레어, 허리","가슴, 넓다, 밑단, 붙다, 살, 상체, 심하다, 압박, 없다, 이에요, 작다, 크다, 펴다, 편, 편이, 편하다, 플레어, 허리, 흉통"
참 조아 요 보시는 대로 짧긴 한데 그거대로 예뻐요,,"그거, 대로, 보시, 조아, 짧다","그거, 대로, 보시, 조아, 짧다, 차다"
생각보다 잘 늘어나는 원단이고 검정색은 정장 같은 느낌도 나서 좋았어요 키가 작아서 길이는 신경 안 쓰고 구매했는데 앉아 있을 때는 생각보다 안 짧게 느껴져요, 늘어나다,"검정색, 길이, 늘어나다, 신경, 앉다, 원단, 작다, 정장, 짧다, 키","검정색, 길이, 나서다, 느껴지다, 늘어나다, 신경, 쓰다, 앉다, 원단, 작다, 정장, 짧다, 키"
키가 인데 사이즈며 길이 감 핏 이런 원피스 핏 어디서 찾기 힘든데 딱 했던 그대로라 바지에 레이어드해도 예쁘고 단독으로 입어도 예뻐요," 단독,  그대로","그대로, 길이, 단독, 레이어드, 바지, 사이즈, 원피스, 인데, 찾기, 힘드다","그대로, 길이, 단독, 레이어 드 해도, 레이어드, 며, 바지, 사이즈, 사이즈며, 어디서, 원피스, 이렇다, 인데, 찾기, 키, 핏, 힘드다"
처음에 입어보고 너무 타이트해서 놀랬어요 근데 오히려 편한 거 같아 요 밑에 글로니 골지레깅스 숏 입으니까 짧아도 불편하지 않고 괜찮아요 그리고 옷이 정말 날씬해 보입니다," 입어보다,  불편하다","골지, 날씬하다, 놀래다, 밑, 보이다, 불편하다, 입어보다, 처음, 타이트, 편하다","골지, 골지 레깅스, 골지레깅스, 근데, 날씬하다, 놀래다, 레깅스, 밑, 보이다, 불편하다, 숏, 입어보다, 짧다, 처음, 타이 트, 타이트, 편하다"
